,title,type,issue,date
5664,Gina Haspel is the Right Person to Lead the CIA,Fact Sheets,Other,"May 2, 2018"
5665,Remarks by President Trump at Swearing-In Ceremony of Mike Pompeo as Secretary of State,Remarks,Other,"May 2, 2018"
5666,How to Protect America’s “Best Idea”,Other,Land & Agriculture,"May 2, 2018"
5667,The Wall Street Journal: “From Mother Teresa to Counterterrorism: CIA Unveils More on Gina Haspel”,News Clips,Other,"May 2, 2018"
5668,"WTAS: Widespread Praise for Gina Haspel, President Trump’s Nominee for CIA Director",Statements & Releases,Other,"May 2, 2018"
5669,"Remarks by Vice President Pence at “Tax Cuts to Put America First” Event | Phoenix, AZ",Remarks,Budget & Spending,"May 1, 2018"
5670,An Amazing Visit to a New Art Therapy Studio,Other,Healthcare,"May 1, 2018"
5671,Press Briefing by Press Secretary Sarah Sanders,Press Briefings,Other,"May 1, 2018"
5672,Remarks by President Trump Welcoming the Crew and Passengers of Southwest Airlines Flight 1380 to the White House,Remarks,Other,"May 1, 2018"
5673,Remarks by President Trump Presenting the Commander-in-Chief’s Trophy to the U.S. Military Academy Football Team,Remarks,Other,"May 1, 2018"
5674,"For CIA Director, ‘One of the Most Accomplished Officers of Her Generation’",Other,Other,"May 1, 2018"
5675,President Trump Announces Presidential Delegation to the Republic of Costa Rica to Attend the Inauguration of His Excellency Carlos Alvarado,Statements & Releases,Foreign Policy,"May 1, 2018"
5676,President Donald J. Trump Proclaims May 2018 as National Mental Health Awareness Month,Proclamations,Healthcare,"May 1, 2018"
5677,President Donald J. Trump Proclaims May 2018 as National Physical Fitness and Sports Month,Proclamations,Healthcare,"Apr 30, 2018"
