,title,type,issue,date
2072,"Executive Order on Providing for the Closing of Executive Departments and Agencies of the Federal Government on December 24, 2019",Executive Orders,Budget & Spending,"Dec 17, 2019"
2073,Remarks by President Trump and President Morales of the Republic of Guatemala Before Bilateral Meeting,Remarks,Foreign Policy,"Dec 17, 2019"
2074,Letter from President Donald J. Trump to the Speaker of the House of Representatives,Statements & Releases,Law & Justice,"Dec 17, 2019"
2075,"Statement from the Press Secretary Regarding the Visit of His Excellency Jimmy Morales, President of the Republic of Guatemala",Statements & Releases,Foreign Policy,"Dec 16, 2019"
2076,"Presidential Proclamation on Wright Brothers Day, 2019",Proclamations,Other,"Dec 16, 2019"
2077,Remarks by President Trump in a Roundtable Discussion on the Governors’ Initiative on Regulatory Innovation,Remarks,Economy & Jobs,"Dec 16, 2019"
2078,President Donald J. Trump Is Ensuring That Forgotten Americans Are Forgotten No More,Fact Sheets,Economy & Jobs,"Dec 16, 2019"
2079,Pro-Growth Economic Policies Benefit Previously Left Behind Americans the Most,Other,Economy & Jobs,"Dec 16, 2019"
2080,Presidential Message on the 75th Anniversary of the Battle of the Bulge,Statements & Releases,National Security & Defense,"Dec 16, 2019"
2081,Bill Announcement,Statements & Releases,Veterans,"Dec 13, 2019"
2082,Message to the Congress on the United States – Mexico – Canada Agreement,Statements & Releases,Economy & Jobs,"Dec 13, 2019"
2083,President Donald J. Trump Has Secured a Historic Phase One Trade Agreement with China,Fact Sheets,Economy & Jobs,"Dec 13, 2019"
2084,Joint Statement from President Donald J. Trump and President Mario Abdo Benitez,Statements & Releases,Foreign Policy,"Dec 13, 2019"
2085,Remarks by President Trump and President Abdo Benítez of the Republic of Paraguay Before Bilateral Meeting,Remarks,Foreign Policy,"Dec 13, 2019"
2086,Remarks by President Trump at the 2019 Congressional Ball,Remarks,Other,"Dec 12, 2019"
2087,"White House Principles for Child Care Reform: Increasing Access to Affordable, High Quality Child Care in America",Statements & Releases,Other,"Dec 12, 2019"
2088,Bill Announcement,Statements & Releases,Other,"Dec 12, 2019"
2089,High Child Care Costs Keep American Parents Out of the Workforce,Other,Economy & Jobs,"Dec 12, 2019"
2090,Remarks by President Trump at the White House Summit on Child Care and Paid Leave,Remarks,Economy & Jobs,"Dec 12, 2019"
2091,President Donald J. Trump Is Committed to Supporting Working Families,Fact Sheets,Economy & Jobs,"Dec 12, 2019"
2092,Prize Winners Announced in $1.55M Challenge for New Solutions to  Detect Opioids in International Mail,Statements & Releases,Other,"Dec 12, 2019"
2093,"The Time Has Come. Congress, Pass USMCA.",Other,Economy & Jobs,"Dec 12, 2019"
2094,Remarks by President Trump at a Hanukkah Reception,Remarks,Other,"Dec 12, 2019"
2095,President Trump Announces Presidential Delegation to Attend the World War II Battle of the Bulge 75th Anniversary Commemoration Events,Statements & Releases,Other,"Dec 12, 2019"
2096,Remarks by President Trump at Hanukkah Reception and Signing of an Executive Order Combating Anti-Semitism,Remarks,Other,"Dec 11, 2019"
2097,Text of a Letter from the President to the Speaker of the House of Representatives and the President pro tempore of the Senate,Statements & Releases,National Security & Defense,"Dec 11, 2019"
2098,Statement from the Press Secretary,Statements & Releases,Immigration,"Dec 11, 2019"
2099,Executive Order on Combating Anti-Semitism,Executive Orders,Law & Justice,"Dec 11, 2019"
2100,President Donald J. Trump Is Committed to Combating the Rise of Anti-Semitism,Fact Sheets,Law & Justice,"Dec 11, 2019"
2101,Remarks by President Trump Before Marine One Departure,Remarks,Other,"Dec 10, 2019"
2102,WTAS: Support for President Donald J. Trump’s United States-Mexico-Canada Agreement,Statements & Releases,Economy & Jobs,"Dec 10, 2019"
2103,President Donald J. Trump Announces Intent to Nominate and Appoint Individuals to Key Administration Posts,Nominations & Appointments,Other,"Dec 10, 2019"
2104,Statement from the Press Secretary Regarding the National Defense Authorization Act,Statements & Releases,National Security & Defense,"Dec 10, 2019"
2105,Remarks by President Trump at a Roundtable on Empowering Families with Education Choice,Remarks,Education,"Dec 9, 2019"
2106,"Presidential Proclamation on Human Rights Day, Bill of Rights Day, and Human Rights Week, 2019",Proclamations,Law & Justice,"Dec 9, 2019"
2107,Statement from Vice President Mike Pence on Horowitz Report,Statements & Releases,Other,"Dec 9, 2019"
2108,President Donald J. Trump Announces Intent to Nominate Individuals to Key Administration Posts,Nominations & Appointments,Other,"Dec 9, 2019"
2109,Three Nominations Sent to the Senate,Nominations & Appointments,Other,"Dec 9, 2019"
2110,Statement from the Press Secretary,Statements & Releases,Healthcare,"Dec 9, 2019"
2111,"ONDCP, State Department Joint Statement on Fourth Annual North American Drug Dialogue",Statements & Releases,Other,"Dec 9, 2019"
2112,Remarks by President Trump at the Israeli American Council National Summit 2019,Remarks,Foreign Policy,"Dec 8, 2019"
2113,Remarks by President Trump Before Marine One Departure,Remarks,Economy & Jobs,"Dec 7, 2019"
2114,Statement from President Donald J. Trump on the Release of Xiyue Wang from Iran,Statements & Releases,Foreign Policy,"Dec 7, 2019"
2115,Statement from the Press Secretary,Statements & Releases,Healthcare,"Dec 6, 2019"
2116,Remarks by President Trump and Vice President Pence in a Roundtable on Small Business and Red Tape Reduction Accomplishments,Remarks,Economy & Jobs,"Dec 6, 2019"
2117,"Deregulation Continues to Benefit American Consumers, Driving Economic Growth",Other,Economy & Jobs,"Dec 6, 2019"
2118,"President Trump Announces Presidential Delegation to Attend the Inauguration of His Excellency Alberto Fernández, President of the Argentine Republic",Statements & Releases,Foreign Policy,"Dec 6, 2019"
2119,President Donald J. Trump Approves Tennessee Disaster Declaration,Statements & Releases,Land & Agriculture,"Dec 6, 2019"
2120,President Donald J. Trump Approves Tennessee Disaster Declaration,Statements & Releases,Land & Agriculture,"Dec 6, 2019"
2121,Presidential Message on the 154th Anniversary of the Ratification of the 13th Amendment,Statements & Releases,Law & Justice,"Dec 6, 2019"
2122,"Presidential Proclamation on National Pearl Harbor Remembrance Day, 2019",Proclamations,Other,"Dec 6, 2019"
2123,Statement from the Press Secretary,Statements & Releases,Law & Justice,"Dec 6, 2019"
2124,November Job Gains Once Again Smash Expectations,Other,Economy & Jobs,"Dec 6, 2019"
2125,Remarks by President Trump at the National Christmas Tree Lighting Ceremony,Remarks,Other,"Dec 5, 2019"
2126,"Statement from the Press Secretary Regarding the Visit of His Excellency Mario Abdo Benítez, President of the Republic of Paraguay",Statements & Releases,Foreign Policy,"Dec 5, 2019"
2127,Bill Announcement,Statements & Releases,Law & Justice,"Dec 5, 2019"
2128,Remarks by President Trump in Luncheon with the Permanent Representatives of the U.N. Security Council,Remarks,Foreign Policy,"Dec 5, 2019"
2129,Statement from the Press Secretary,Statements & Releases,Other,"Dec 5, 2019"
2130,President Donald J. Trump Announces Intent to Nominate and Appoint Individuals to Key Administration Posts,Nominations & Appointments,Other,"Dec 5, 2019"
2131,"Remarks by Vice President Pence to a Meeting of Faith Leaders | Kalamazoo, MI",Remarks,Law & Justice,"Dec 4, 2019"
2132,"Remarks by President Trump and Prime Minister Conte of the Italian Republic Before Bilateral Meeting | Hertfordshire, United Kingdom",Remarks,Foreign Policy,"Dec 4, 2019"
2133,Remarks by President Trump in a Working Lunch with 2 Percenters,Remarks,Foreign Policy,"Dec 4, 2019"
2134,Remarks by President Trump and Chancellor Merkel of the Federal Republic of Germany Before Bilateral Meeting,Remarks,Foreign Policy,"Dec 4, 2019"
2135,Remarks by President Trump Before Marine One Departure,Remarks,Other,"Dec 4, 2019"
2136,"Remarks by President Trump and Prime Minister Trudeau of Canada Before Bilateral Meeting | London, United Kingdom",Remarks,Foreign Policy,"Dec 3, 2019"
2137,"Remarks by President Trump and President Macron of France Before Bilateral Meeting | London, United Kingdom",Remarks,Foreign Policy,"Dec 3, 2019"
2138,"Remarks by President Trump and NATO Secretary General Stoltenberg After 1:1 Meeting | London, United Kingdom",Remarks,Foreign Policy,"Dec 3, 2019"
2139,House Drug Pricing Bill Could Keep 100 Lifesaving Drugs from American Patients,Other,Healthcare,"Dec 3, 2019"
2140,Presidential Message on #GivingTuesday,Statements & Releases,Other,"Dec 3, 2019"
2141,Eight Nominations and One Withdrawal Sent to the Senate,Nominations & Appointments,Other,"Dec 2, 2019"
2142,Second Lady Karen Pence Unveils the Christmas Decorations at the Vice President’s Residence,Statements & Releases,Other,"Dec 2, 2019"
2143,Statement from the Press Secretary Regarding the Visit of Prime Minister Kyriakos Mitsotakis of the Hellenic Republic,Statements & Releases,Foreign Policy,"Dec 2, 2019"
2144,First Lady Melania Trump Unveils Christmas at the White House 2019,Statements & Releases,Other,"Dec 2, 2019"
2145,Statement from President Donald J. Trump on the Passing of Former Prime Minister Yasuhiro Nakasone,Statements & Releases,Foreign Policy,"Nov 30, 2019"
2146,Statement from the Press Secretary Regarding the Visit of the Permanent Representatives of the United Nations Security Council,Statements & Releases,Foreign Policy,"Nov 29, 2019"
2147,"Remarks by President Trump to Troops at Bagram Airfield | Bagram, Afghanistan",Remarks,National Security & Defense,"Nov 28, 2019"
2148,"Remarks by President Trump and President Ghani of Afghanistan After Bilateral Meeting | Bagram, Afghanistan",Remarks,Foreign Policy,"Nov 28, 2019"
2149,"Remarks by President Trump During Troop Engagement | Bagram, Afghanistan",Remarks,National Security & Defense,"Nov 28, 2019"
2150,Statement from the President on S. 1838 and S. 2710,Statements & Releases,Foreign Policy,"Nov 27, 2019"
2151,Statement by the President,Statements & Releases,Foreign Policy,"Nov 27, 2019"
2152,Bill Announcement,Statements & Releases,Law & Justice,"Nov 27, 2019"
2153,"Presidential Proclamation on National Impaired Driving Prevention Month, 2019",Proclamations,Healthcare,"Nov 27, 2019"
2154,"Presidential Proclamation on Thanksgiving Day, 2019",Proclamations,Other,"Nov 27, 2019"
2155,"Presidential Proclamation on World AIDS Day, 2019",Proclamations,Healthcare,"Nov 27, 2019"
2156,Bill Announcement,Other,Other,"Nov 27, 2019"
2157,Statement from the Press Secretary,Statements & Releases,Immigration,"Nov 27, 2019"
2158,Remarks by President Trump at the National Thanksgiving Turkey Pardoning Ceremony,Remarks,Other,"Nov 26, 2019"
2159,President Donald J. Trump Is Committed to Supporting and Protecting Native American Women and Children Across The Country,Fact Sheets,Law & Justice,"Nov 26, 2019"
2160,Text of a Letter to the President of the Senate Related to the Accession of the Republic of North Macedonia in the North Atlantic Treaty Organization,Statements & Releases,Foreign Policy,"Nov 26, 2019"
2161,Remarks by President Trump at Signing of an Executive Order Establishing the Task Force on Missing and Murdered American Indians and Alaska Natives,Remarks,Law & Justice,"Nov 26, 2019"
2162,Executive Order on Establishing the Task Force on Missing and Murdered American Indians and Alaska Natives,Executive Orders,Law & Justice,"Nov 26, 2019"
2163,"Remarks by President Trump in a Signing Ceremony for H.R. 724, The Preventing Animal Cruelty and Torture (PACT) Act",Remarks,Law & Justice,"Nov 25, 2019"
2164,"Remarks by President Trump in a Signing Ceremony for H.R. 2423, The Women’s Suffrage Centennial Commemorative Coin Act",Remarks,Other,"Nov 25, 2019"
2165,President Donald J. Trump Announces Intent to Nominate and Appoint Individuals to Key Administration Posts,Nominations & Appointments,Other,"Nov 25, 2019"
2166,Bill Announcement,Statements & Releases,Law & Justice,"Nov 25, 2019"
2167,Remarks by President Trump at the Arrival of Prime Minister Borissov of the Republic of Bulgaria,Remarks,Foreign Policy,"Nov 25, 2019"
2168,Statement from the Press Secretary on the Global Health Security Agenda,Statements & Releases,Healthcare,"Nov 25, 2019"
2169,Remarks by President Trump and Prime Minister Borissov of the Republic of Bulgaria Before Bilateral Meeting,Remarks,Foreign Policy,"Nov 25, 2019"
2170,Joint Statement by President of the United States Donald J. Trump and Prime Minister Boyko Borissov of Bulgaria,Statements & Releases,Foreign Policy,"Nov 25, 2019"
2171,Remarks by President Trump and Vice President Pence Recognizing Special Operations Military Working Dog from 1st SFOD-D,Remarks,National Security & Defense,"Nov 25, 2019"
2172,Remarks by National Security Advisor Ambassador Robert O’Brien at 2019 Atlantic Future Forum,Remarks,National Security & Defense,"Nov 25, 2019"
2173,Remarks by National Security Advisor Ambassador Robert O’Brien at the ZOA’s 2019 Justice Louis D. Brandeis Award Dinner,Remarks,Foreign Policy,"Nov 25, 2019"
2174,Text of a Notice on the Continuation of the National Emergency with Respect to the Situation in Nicaragua,Statements & Releases,Foreign Policy,"Nov 25, 2019"
2175,Text of a Letter to the Speaker of the House of Representatives and the President of the Senate,Statements & Releases,Foreign Policy,"Nov 25, 2019"
2176,Remarks by Vice President Pence in a Press Gaggle | Erbil Air Base,Remarks,Other,"Nov 23, 2019"
2177,Remarks by Vice President Pence and President Barzani of the Iraqi Kurdistan Region Before Bilateral Meeting,Remarks,National Security & Defense,"Nov 23, 2019"
2178,"Remarks by Vice President Pence to Troops at Al Asad Air Base | Al Anbar Province, Iraq",Remarks,National Security & Defense,"Nov 23, 2019"
2179,Remarks by Vice President Pence to Troops at Erbil Air Base,Remarks,National Security & Defense,"Nov 23, 2019"
2180,Vice President Pence Visits Iraq,Statements & Releases,National Security & Defense,"Nov 23, 2019"
2181,Remarks by President Trump in a Listening Session on Youth Vaping and the Electronic Cigarette Epidemic,Remarks,Healthcare,"Nov 22, 2019"
2182,Bill Announcement,Statements & Releases,Economy & Jobs,"Nov 22, 2019"
2183,President Donald J. Trump Announces Intent to Nominate and Appoint Individuals to Key Administration Posts,Nominations & Appointments,Other,"Nov 22, 2019"
2184,"Presidential Proclamation on National Family Week, 2019",Proclamations,Other,"Nov 22, 2019"
2185,Remarks by President Trump at the NCAA Collegiate National Champions Day,Remarks,Other,"Nov 22, 2019"
2186,Bill Announcement,Statements & Releases,Healthcare,"Nov 21, 2019"
2187,Remarks by President Trump at the Presentation of the National Medal of Arts and the National Humanities Medal,Remarks,Other,"Nov 21, 2019"
2188,Nine Nominations Sent to the Senate,Nominations & Appointments,Other,"Nov 21, 2019"
2189,"Remarks by President Trump After Tour of Apple Manufacturing Plant | Austin, TX",Remarks,Economy & Jobs,"Nov 20, 2019"
2190,President Donald J. Trump Announces Judicial Nominee,Nominations & Appointments,Law & Justice,"Nov 20, 2019"
2191,Statement from the Press Secretary,Statements & Releases,Law & Justice,"Nov 20, 2019"
2192,Remarks by Vice President Pence at Fincantieri Marinette Marine,Remarks,National Security & Defense,"Nov 20, 2019"
2193,Remarks by President Trump Before Marine One Departure,Remarks,Other,"Nov 20, 2019"
2194,Second Lady Karen Pence Hosts Second Business Summit on Military Spouse Employment Solutions,Statements & Releases,National Security & Defense,"Nov 20, 2019"
2195,ONDCP Announces More Than $4 Million in Grants for Local Programs Combating the Opioid Crisis,Statements & Releases,Other,"Nov 20, 2019"
2196,President Donald J. Trump Is Accelerating Ocean Exploration,Fact Sheets,Other,"Nov 19, 2019"
2197,Memorandum on Ocean Mapping of the United States Exclusive Economic Zone and the Shoreline and Nearshore of Alaska,Presidential Memoranda,Energy & Environment,"Nov 19, 2019"
2198,"Statement from Lieutenant General Keith Kellogg, National Security Advisor to Vice President Mike Pence",Statements & Releases,Foreign Policy,"Nov 19, 2019"
2199,Nine Nominations Sent to the Senate,Nominations & Appointments,Other,"Nov 19, 2019"
2200,Remarks by President Trump in a Cabinet Meeting,Remarks,Other,"Nov 19, 2019"
2201,Text of a Letter from the President to the Speaker of the House of Representatives and the President pro tempore of the Senate,Statements & Releases,National Security & Defense,"Nov 19, 2019"
2202,Innovation-Driven Energy Dominance Is a Win for American Consumers,Other,Energy & Environment,"Nov 19, 2019"
2203,Text of a Notice on the Continuation of the National Emergency with Respect to Burundi,Statements & Releases,Foreign Policy,"Nov 19, 2019"
2204,Message to the Congress on the Continuation of the National Emergency with Respect to Burundi,Statements & Releases,Foreign Policy,"Nov 19, 2019"
2205,Statement from the Press Secretary Regarding the Release of Two Hostages from the Taliban,Statements & Releases,Law & Justice,"Nov 19, 2019"
2206,President Donald J. Trump Announces Intent to Nominate Individuals to Key Administration Posts,Nominations & Appointments,Other,"Nov 18, 2019"
2207,President Donald J. Trump Approves South Dakota Disaster Declaration,Statements & Releases,Land & Agriculture,"Nov 18, 2019"
2208,"Presidential Message on Antibiotic Awareness Week, 2019",Statements & Releases,Healthcare,"Nov 18, 2019"
2209,President Donald J. Trump to Award the National Medal of Arts and National Humanities Medal,Statements & Releases,Other,"Nov 17, 2019"
2210,Statement from the Press Secretary Regarding Protests in Iran,Statements & Releases,Foreign Policy,"Nov 17, 2019"
2211,"Presidential Proclamation on American Education Week, 2019",Proclamations,Education,"Nov 15, 2019"
2212,Statement from the Press Secretary,Statements & Releases,National Security & Defense,"Nov 15, 2019"
2213,Remarks by President Trump on Honesty and Transparency in Healthcare Prices,Remarks,Healthcare,"Nov 15, 2019"
2214,President Donald J. Trump Is Delivering on His Promise to Make Healthcare Prices More Transparent,Fact Sheets,Healthcare,"Nov 15, 2019"
2215,Statement from the Press Secretary,Statements & Releases,Foreign Policy,"Nov 15, 2019"
2216,Presidential Message on America Recycles Day,Statements & Releases,Energy & Environment,"Nov 15, 2019"
2217,"Remarks by Vice President Pence to NASA’s Ames Research Center Employees and Guests | Moffett Field, CA",Remarks,Infrastructure & Technology,"Nov 14, 2019"
2218,Second Lady Karen Pence Visits Coast Guard Spouses at Base Alameda,Statements & Releases,National Security & Defense,"Nov 14, 2019"
2219,Press Briefing by Acting CBP Commissioner Mark Morgan,Press Briefings,Immigration,"Nov 14, 2019"
2220,President Donald J. Trump Announces Intent to Appoint Individuals to Key Administration Posts,Nominations & Appointments,Other,"Nov 14, 2019"
2221,Remarks by President Trump and President Erdoğan of Turkey in Legislative Engagement with Select Members of the Senate,Remarks,Foreign Policy,"Nov 13, 2019"
2222,Remarks by President Trump and President Erdoğan of Turkey in Joint Press Conference,Remarks,Foreign Policy,"Nov 13, 2019"
2223,President Donald J. Trump Announces Intent to Nominate Individuals to Key Administration Posts,Nominations & Appointments,Other,"Nov 13, 2019"
2224,Summer 2020 White House Internship Program,Statements & Releases,Other,"Nov 13, 2019"
2225,Remarks by President Trump and President Erdoğan of Turkey Before Bilateral Meeting,Remarks,Foreign Policy,"Nov 13, 2019"
2226,One Nomination and One Withdrawal Sent to the Senate,Nominations & Appointments,Other,"Nov 13, 2019"
2227,President Donald J. Trump Is Committed to Direct Engagement and Diplomacy with Turkey,Fact Sheets,Foreign Policy,"Nov 13, 2019"
2228,Presidential Memorandum on the Delegation of Removal Authority Over the Federal Service Impasses Panel,Presidential Memoranda,Economy & Jobs,"Nov 12, 2019"
2229,"Remarks by President Trump at the Economic Club of New York | New York, NY",Remarks,Economy & Jobs,"Nov 12, 2019"
2230,Remarks by Vice President Pence at the 2019 National Adoption Month Celebration,Remarks,Law & Justice,"Nov 12, 2019"
2231,Message to the Congress on the Continuation of the National Emergency with Respect to the Proliferation of Weapons of Mass Destruction,Statements & Releases,National Security & Defense,"Nov 12, 2019"
2232,Message to the Congress on the Continuation of the National Emergency with Respect to Iran,Statements & Releases,Foreign Policy,"Nov 12, 2019"
2233,Text of a Notice on the Continuation of the National Emergency With Respect to the Proliferation of Weapons of Mass Destruction,Statements & Releases,National Security & Defense,"Nov 12, 2019"
2234,Text of a Notice on the Continuation of the National Emergency with Respect to Iran,Statements & Releases,Foreign Policy,"Nov 12, 2019"
2235,Remarks by President Trump at the New York City Veterans Day Parade,Remarks,Veterans,"Nov 11, 2019"
2236,Statement from President Donald J. Trump Regarding the Resignation of Bolivian President Evo Morales,Statements & Releases,Foreign Policy,"Nov 11, 2019"
2237,"Remarks by Vice President Pence at the Department of Veterans Affairs’ National Veterans Day Observance | Arlington, VA",Remarks,Veterans,"Nov 11, 2019"
2238,President Trump Is Committed to Supporting Every Brave American Who Has Served Our Country,Fact Sheets,Veterans,"Nov 11, 2019"
2239,Statement from the Press Secretary,Statements & Releases,Foreign Policy,"Nov 10, 2019"
2240,Presidential Message on the 244th Birthday of the United States Marine Corps,Statements & Releases,National Security & Defense,"Nov 10, 2019"
2241,Remarks by President Trump Before Air Force One Departure,Remarks,Economy & Jobs,"Nov 9, 2019"
2242,President Donald J. Trump Amends 2011 New Mexico Disaster Declaration,Statements & Releases,Land & Agriculture,"Nov 9, 2019"
2243,"Statement from the Press Secretary Regarding the Visit of His Excellency Jens Stoltenberg, Secretary General of the North Atlantic Treaty Organization",Statements & Releases,Foreign Policy,"Nov 9, 2019"
2244,Commemorating Mallows Bay-Potomac River National Marine Sanctuary,Other,Energy & Environment,"Nov 9, 2019"
2245,Presidential Message Commemorating the 30th Anniversary of the Fall of the Berlin Wall,Statements & Releases,Foreign Policy,"Nov 9, 2019"
2246,President Donald J. Trump Amends 2012 New Mexico Disaster Declaration,Statements & Releases,Land & Agriculture,"Nov 9, 2019"
2247,"Presidential Proclamation on National Apprenticeship Week, 2019",Proclamations,Economy & Jobs,"Nov 9, 2019"
2248,Remarks by President Trump Before Marine One Departure,Remarks,Other,"Nov 8, 2019"
2249,"Presidential Proclamation on World Freedom Day, 2019",Proclamations,Veterans,"Nov 8, 2019"
2250,ONDCP Releases Data on Coca Cultivation and Production Potential in Bolivia,Statements & Releases,Other,"Nov 8, 2019"
2251,Bill Announcement,Statements & Releases,Infrastructure & Technology,"Nov 8, 2019"
2252,Press Briefing by Secretary of Veterans Affairs Robert Wilkie,Press Briefings,Veterans,"Nov 8, 2019"
2253,Statement from the Press Secretary Regarding the Visit of Prime Minister Boyko Borissov of the Republic of Bulgaria,Statements & Releases,Foreign Policy,"Nov 8, 2019"
2254,Remarks by President Trump at Presentation of the Presidential Citizens Medal,Remarks,Other,"Nov 7, 2019"
2255,Bill Announcement,Statements & Releases,National Security & Defense,"Nov 7, 2019"
2256,One Nomination Sent to the Senate,Nominations & Appointments,Other,"Nov 7, 2019"
2257,"Presidential Proclamation on Veterans Day, 2019",Proclamations,Veterans,"Nov 7, 2019"
2258,Second Lady Karen Pence Visits Tracy’s Kids Art Therapy Program,Statements & Releases,Other,"Nov 7, 2019"
2259,"Presidential Message on the National Day for the Victims of Communism, 2019",Statements & Releases,Law & Justice,"Nov 7, 2019"
2260,ONDCP Statement on Chinese Prosecution and Sentencing of Fentanyl Traffickers and Producers,Statements & Releases,Other,"Nov 7, 2019"
2261,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Post,Nominations & Appointments,Other,"Nov 6, 2019"
2262,Remarks by President Trump on Federal Judicial Confirmation Milestones,Remarks,Law & Justice,"Nov 6, 2019"
2263,President Donald J. Trump Is Appointing a Historic Number of Federal Judges to Uphold Our Constitution as Written,Fact Sheets,Law & Justice,"Nov 6, 2019"
2264,"Readout From First Lady Melania Trump’s Visit to Boston, MA",Statements & Releases,Healthcare,"Nov 6, 2019"
2265,President Donald J. Trump Announces Judicial Nominees,Nominations & Appointments,Other,"Nov 6, 2019"
2266,One Nomination Sent to the Senate,Nominations & Appointments,Other,"Nov 5, 2019"
2267,Prescription Drug Prices Are Falling at Historic Levels Thanks to Trump Administration Policies,Other,Healthcare,"Nov 5, 2019"
2268,Remarks by President Trump Welcoming the 2019 World Series Champions: The Washington Nationals,Remarks,Other,"Nov 4, 2019"
2269,Remarks by President Trump Before Marine One Departure,Remarks,Law & Justice,"Nov 4, 2019"
2270,"First Lady Melania Trump to Travel to Boston, MA to Highlight a Treatment Program for Babies Born with NAS",Statements & Releases,Other,"Nov 4, 2019"
2271,"Presidential Message on National Veterans Small Business Week, 2019",Statements & Releases,Veterans,"Nov 4, 2019"
2272,Statement from the Press Secretary,Statements & Releases,Foreign Policy,"Nov 4, 2019"
2273,Remarks by President Trump Before Marine One Departure,Remarks,Other,"Nov 3, 2019"
2274,"Remarks by Vice President Pence at “USMCA: A Better Deal for American Workers” Event | Louisa, VA",Remarks,Economy & Jobs,"Nov 3, 2019"
2275,Statement from the Press Secretary,Statements & Releases,Law & Justice,"Nov 3, 2019"
2276,Remarks by President Trump Before Marine One Departure,Remarks,Other,"Nov 3, 2019"
2277,"Remarks by Vice President Pence in Meet and Greet with First Responders | Williamsburg, KY",Remarks,Law & Justice,"Nov 2, 2019"
2278,Presidential Determination on Refugee Admissions for Fiscal Year 2020,Presidential Memoranda,Immigration,"Nov 1, 2019"
2279,United States–Estonia Joint Declaration on 5G Security,Statements & Releases,National Security & Defense,"Nov 1, 2019"
2280,President Donald J. Trump Announces Intent to Nominate and Appoint Individuals to Key Administration Posts,Nominations & Appointments,Other,"Nov 1, 2019"
2281,2020-2021 White House Fellowship,Statements & Releases,Other,"Nov 1, 2019"
2282,Historic U.S. Job Market Continues as African-American Unemployment Rate Hits New Low,Other,Economy & Jobs,"Nov 1, 2019"
2283,"Presidential Message on National Alzheimer’s Disease Awareness Month, 2019",Statements & Releases,Healthcare,"Nov 1, 2019"
2284,"Presidential Proclamation on National Veterans and Military Families Month, 2019",Proclamations,Veterans,"Nov 1, 2019"
2285,"Presidential Proclamation on National Entrepreneurship Month, 2019",Proclamations,Economy & Jobs,"Nov 1, 2019"
2286,"Presidential Message on National Diabetes Month, 2019",Statements & Releases,Healthcare,"Nov 1, 2019"
2287,"Presidential Proclamation on Critical Infrastructure Security and Resilience Month, 2019",Proclamations,Infrastructure & Technology,"Oct 31, 2019"
2288,"Presidential Proclamation on National Native American Heritage Month, 2019",Proclamations,Other,"Oct 31, 2019"
2289,"Presidential Proclamation on National Adoption Month, 2019",Proclamations,Law & Justice,"Oct 31, 2019"
2290,Executive Order on Improving Federal Contractor Operations by Revoking Executive Order 13495,Other,Economy & Jobs,"Oct 31, 2019"
2291,"Presidential Proclamation on National American History and Founders Month, 2019",Proclamations,Other,"Oct 31, 2019"
2292,One Nomination Sent to the Senate,Nominations & Appointments,Other,"Oct 31, 2019"
2293,President Donald J. Trump Announces Intent to Nominate Individual to a Key Administration Post,Nominations & Appointments,Other,"Oct 31, 2019"
2294,Statement from the Press Secretary,Statements & Releases,Other,"Oct 31, 2019"
2295,Bill Announcement,Statements & Releases,Other,"Oct 31, 2019"
2296,Text of a Notice on the Continuation of the National Emergency with Respect to Sudan,Statements & Releases,Foreign Policy,"Oct 31, 2019"
2297,Presidential Message to the Congress on the Continuation of the National Emergency with Respect to Sudan,Statements & Releases,Foreign Policy,"Oct 31, 2019"
2298,"Presidential Proclamation on National Family Caregivers Month, 2019",Proclamations,Other,"Oct 31, 2019"
2299,Message to the Congress,Statements & Releases,Foreign Policy,"Oct 31, 2019"
2300,Statement from the Press Secretary,Statements & Releases,Other,"Oct 31, 2019"
2301,"Remarks by President Trump at Presentation of the Congressional Medal of Honor for Master Sergeant Matthew Williams, U.S. Army",Remarks,Other,"Oct 30, 2019"
2302,"Readout from the Visit of First Lady Melania Trump and Second Lady Karen Pence to Charleston, SC",Statements & Releases,Other,"Oct 30, 2019"
2303,Six Nominations Sent to the Senate,Nominations & Appointments,Other,"Oct 30, 2019"
2304,ONDCP Announces 150 New Drug-Free Communities Grants Aimed at Preventing Youth Substance Use,Statements & Releases,Other,"Oct 30, 2019"
2305,FindTreatment.gov Launches to Help More Americans Find Treatment for Substance Use Disorders,Other,Other,"Oct 30, 2019"
2306,"Economy Reaches Longest Expansion in U.S. History in Third Quarter of 2019, Beats Market Expectations",Other,Economy & Jobs,"Oct 30, 2019"
2307,President Trump Announces the United States Government Mission to the United States-Association of Southeast Asian Nations Summit and East Asia Summit,Statements & Releases,Foreign Policy,"Oct 29, 2019"
2308,Statement from the Press Secretary,Statements & Releases,Other,"Oct 29, 2019"
2309,President Donald J. Trump Has Made it a Priority to Combat the Heinous Crime of Human Trafficking,Fact Sheets,Law & Justice,"Oct 29, 2019"
2310,President Donald J. Trump Announces Intent to Appoint Individuals to Key Administration Posts,Nominations & Appointments,Other,"Oct 29, 2019"
2311,"Remarks by Vice President Pence During a Veterans Transition Roundtable | Fort Hood, TX",Remarks,Veterans,"Oct 29, 2019"
2312,"Remarks by Vice President Pence to Service Members and Veterans at U.S. Army Fort Hood | Fort Hood, TX",Remarks,National Security & Defense,"Oct 29, 2019"
